Attaccante;Bersaglio;Tecnica;Continente;Severity
Cybercrime;Online Services / Cloud;Phishing / Social Engineering;AM;3
Cybercrime;Telco;Unknown;EU;3
Cybercrime;Entertainment / News;Unknown;EU;2
Cybercrime;Multiple targets;Malware;AS;3
Cybercrime;Online Services / Cloud;Vulnerabilities;AM;3
Cybercrime;Research - Education;Phishing / Social Engineering;AM;3
Cybercrime;Banking / Finance;Malware;AS;2
Cybercrime;Online Services / Cloud;Unknown;AM;3
Cybercrime;Hospitability;Unknown;AM;2
Information warfare;Multiple targets;Malware;AS;1
Cybercrime;Research - Education;Malware;EU;3
Cybercrime;Multiple targets;Malware;EU;3
Cybercrime;Research - Education;Malware;EU;3
Cybercrime;Multiple targets;Unknown;AM;2
Cybercrime;GDO / Retail;Malware;AM;3
Cybercrime;Research - Education;Malware;AM;3
Espionage / Sabotage;Multiple targets;Malware;AM;1
Cybercrime;Health;Malware;AM;2
Information warfare;Gov - Mil - LE - Intelligence;Vulnerabilities;AM;1
Espionage / Sabotage;Multiple targets;Malware;AM;1
Cybercrime;Online Services / Cloud;Malware;AS;1
Cybercrime;Gov - Mil - LE - Intelligence;Phishing / Social Engineering;AM;2
Hacktivism;Gov - Mil - LE - Intelligence;Vulnerabilities;AM;2
Cybercrime;Research - Education;Malware;EU;3
Cybercrime;Gov - Mil - LE - Intelligence;Multiple Threats / APT;AM;2
Cybercrime;SW / HW Vendor;DDoS;EU;3
Cybercrime;Health;Malware;AM;2
Cybercrime;SW / HW Vendor;Vulnerabilities;EU;3
Cybercrime;Health;Malware;AM;2
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Malware;AS;1
Cybercrime;Automotive;Malware;AM;1
Cybercrime;Others;Malware;OC;1
Cybercrime;Entertainment / News;DDoS;AM;2
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Unknown;EU;1
Cybercrime;SW / HW Vendor;Unknown;AM;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Account Cracking;EU;1
Cybercrime;Gov - Mil - LE - Intelligence;Account Cracking;EU;2
Hacktivism;Gov - Mil - LE - Intelligence;Vulnerabilities;AM;2
Cybercrime;Entertainment / News;Unknown;AM;3
Cybercrime;SW / HW Vendor;Malware;EU;1
Hacktivism;Gov - Mil - LE - Intelligence;Vulnerabilities;AM;2
Cybercrime;Multiple targets;Malware;EU;3
Cybercrime;Multiple targets;Malware;EU;1
Cybercrime;Research - Education;Vulnerabilities;AM;3
Cybercrime;Multiple targets;Malware;EU;2
Cybercrime;Others;Malware;EU;1
Espionage / Sabotage;Health;Malware;AS;1
Cybercrime;Health;Malware;AM;2
Cybercrime;Online Services / Cloud;Unknown;AM;2
Cybercrime;Health;Unknown;OC;3
Cybercrime;Hospitability;Unknown;AM;2
Cybercrime;Hospitability;Unknown;AM;2
Cybercrime;Hospitability;Unknown;AM;2
Cybercrime;Entertainment / News;Unknown;AM;3
Cybercrime;Online Services / Cloud;Vulnerabilities;EU;3
Cybercrime;GDO / Retail;Malware;AM;3
Cybercrime;Telco;Unknown;AS;3
Cybercrime;Banking / Finance;Malware;EU;2
Information warfare;Critical Infrastructures;Malware;AM;1
Cybercrime;Others;Unknown;AM;3
Cybercrime;Organization - ONG;Malware;AM;3
Cybercrime;Entertainment / News;Unknown;AM;2
Cybercrime;Hospitability;Unknown;AM;3
Cybercrime;Telco;Vulnerabilities;AM;3
Cybercrime;Online Services / Cloud;DDoS;AM;3
Cybercrime;Health;Malware;AM;2
Information warfare;Critical Infrastructures;Multiple Threats / APT;EU;1
Cybercrime;Gov - Mil - LE - Intelligence;Unknown;AM;2
Cybercrime;Multiple targets;Phishing / Social Engineering;AM;3
Information warfare;Critical Infrastructures;Multiple Threats / APT;EU;2
Cybercrime;Banking / Finance;Vulnerabilities;AS;2
Cybercrime;Entertainment / News;Malware;AM;2
Cybercrime;Gov - Mil - LE - Intelligence;Phishing / Social Engineering;AM;2
Cybercrime;Entertainment / News;Unknown;AM;3
Cybercrime;GDO / Retail;Unknown;AM;3
Cybercrime;Gov - Mil - LE - Intelligence;Vulnerabilities;AM;2
Cybercrime;Research - Education;Phishing / Social Engineering;EU;3
Cybercrime;Research - Education;Phishing / Social Engineering;AM;3
Cybercrime;SW / HW Vendor;Malware;AM;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Unknown;EU;1
Cybercrime;Entertainment / News;Account Cracking;AM;3
Cybercrime;Entertainment / News;Unknown;AM;3
Cybercrime;Banking / Finance;Phishing / Social Engineering;AM;3
Cybercrime;Entertainment / News;Vulnerabilities;AM;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Malware;AS;1
Cybercrime;Gov - Mil - LE - Intelligence;Unknown;AM;2
Cybercrime;Multiple targets;Unknown;EU;3
Cybercrime;Multiple targets;Unknown;EU;3
Cybercrime;Banking / Finance;Unknown;EU;1
Cybercrime;Multiple targets;Malware;EU;3
Cybercrime;Others;Malware;AM;2
Cybercrime;Banking / Finance;Unknown;EU;2
Espionage / Sabotage;Multiple targets;Malware;AS;1
Information warfare;Gov - Mil - LE - Intelligence;Phishing / Social Engineering;EU;1
Cybercrime;Critical Infrastructures;Unknown;AM;3
Cybercrime;Health;Unknown;AM;3
